sales_id,exclusion_reason
20008,price_above_list
20009,negative_quantity
20016,quantity_outlier_over_400
20024,zero_price
20025,quantity_outlier_over_400
20038,quantity_outlier_over_400
20070,quantity_outlier_over_400
20071,zero_price
20073,zero_price
20085,quantity_outlier_over_400
20099,zero_price
20111,quantity_outlier_over_400
20132,price_above_list
20136,negative_quantity
20146,negative_quantity
20157,negative_quantity
20162,price_above_list
20165,zero_price
20166,negative_quantity
20178,quantity_outlier_over_400
20191,zero_price
20195,price_above_list
20197,price_above_list
20198,quantity_outlier_over_400
20200,zero_price
20205,quantity_outlier_over_400
20207,quantity_outlier_over_400
20217,negative_quantity
20222,negative_quantity
20231,price_above_list
20243,quantity_outlier_over_400
20264,negative_quantity
20271,negative_quantity
20304,zero_price
20319,price_above_list
20322,price_above_list
20323,zero_price
20332,zero_price
20333,zero_price
20349,price_above_list
20371,price_above_list
20381,quantity_outlier_over_400
20387,negative_quantity
20388,zero_price
20395,negative_quantity
20401,price_above_list
20409,quantity_outlier_over_400
20410,quantity_outlier_over_400
20424,quantity_outlier_over_400
20434,price_above_list
20442,zero_price
20446,quantity_outlier_over_400
20466,quantity_outlier_over_400
